Start Time,Position (km), Velocity (m/s), Acceleration (m/s2)
01 Jun 2019 00:00:00.000,"1.54  -465.59  -425.52","-0.11  -0.06  -1.08",0.01,


Time, Magnitude (m/s), Waypoint (km), Transfer Time (min), Direction, Duration (s)
01 Jun 2019 00:08:00.000,8.20,"90.0  -500.0  -328.0",180.0,"0.864  0.355  -0.358",820.1,
01 Jun 2019 01:02:00.000,28.88,"0.0  -200.0  63.0",300.0,"-0.901  0.308  0.304",2887.9,
01 Jun 2019 02:10:00.000,25.78,"0.0  -20.0  -44.0",180.0,"-0.485  0.874  -0.001",2578.2,
01 Jun 2019 04:10:00.000,29.97,"0.0  -10.0  3.0",120.0,"-0.448  -0.767  -0.459",2997.2,
01 Jun 2019 05:40:00.000,23.16,"0.0  -5.0  -7.0",60.0,"-0.416  -0.306  -0.856",2316.1,
01 Jun 2019 06:30:00.000,4.93,"0.0  -2.5  0.0",35.0,"-0.717  -0.476  0.510",493.5,
01 Jun 2019 07:00:00.000,3.81,"0.0  -1.0  0.0",20.0,"-0.277  -0.103  -0.955",381.1,
